"URN","Alignment","Text-Deformation","Editorial-Status",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:1.1","urn:cts:ctsDemo:tufts.cle395.dipl:1@M[1]","Dis","tei:supplied",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:1.2","urn:cts:ctsDemo:tufts.cle395.dipl:1@M[1]","Manibus","tei:expan",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.1","urn:cts:ctsDemo:tufts.cle395.dipl:2@CORELLIA[1]","Corellia","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.2","urn:cts:ctsDemo:tufts.cle395.dipl:2@OPTATA[1]","Optata","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.3","urn:cts:ctsDemo:tufts.cle395.dipl:2@AN[1]","annorum","tei:expan",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:2.4","urn:cts:ctsDemo:tufts.cle395.dipl:2@XIII[1]","XIII","tei:num",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.1","urn:cts:ctsDemo:tufts:cle395.dipl:3@SECRETI[1]","Secreti","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.2","urn:cts:ctsDemo:tufts:cle395.dipl:3@MANES[1]","Manes","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.3","urn:cts:ctsDemo:tufts:cle395.dipl:3@QUI[1]","qui","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:3.4","urn:cts:ctsDemo:tufts:cle395.dipl:3@REGNA[1]","regna","",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.1","urn:cts:ctsDemo:tufts.cle395.dipl:4@ACHERVSIA[1]","Acherusia","tei:placeName",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.2","urn:cts:ctsDemo:tufts.cle395.dipl:4@DITIS[1]","Ditis","tei:persName",
"urn:cts:ctsDemo:tufts.cle395.dipl.norm:4.3","urn:cts:ctsDemo:tufts.cle395.dipl:4@INCOLI[1]-5@TIS[1]","incolitis","",
